Body ID,Name,GF Synapse Count,XYZ,Soma Hemisphere,Status,Updated?,GF input type,GF input type 2
642263196,(dAOTU1)_R,1,"(7295, 29928, 14046)",R,prelim grouping,,1,type 1
642262407,(dAOTU1)_R,4,"(11344, 31528, 11303)",R,prelim grouping,,1,type 1
5813022764,(dAOTU1)_R,4,"(8117, 30619, 13273)",R,prelim grouping,,1,type 1
5812983519,(dAOTU1)_R,6,"(11874, 32610, 12472)",R,prelim grouping,,1,type 1
829155062,(dAOTU1)_R,6,"(10755, 31855, 11870)",R,prelim grouping,,1,type 1
454347237,(dAOTU1)_R,12,"(9385, 30315, 11863)",R,prelim grouping,,1,type 1
829162792,(dAOTU1)_R,13,"(10305, 30680, 11559)",R,prelim grouping,,1,type 1
1102761868,(dAOTU1)_R,16,"(8976, 30593, 12496)",R,prelim grouping,yes,1,type 1
1815947603,,6,"(22661, 19947, 24252)",-,prelim grouping,yes,2,type 2
1506382974,Upstream>pMN1,67,"(22434, 20686, 32014)",-,prelim grouping,,2,type 2
1254331599,FSR*,87,"(24376, 17583, 22776)",-,prelim grouping,,2,type 2
2126296267,(AMVF1)_R,112,"(19659, 21232, 33868)",-,prelim grouping,,2,type 2
1876993474,(AMVF1)_R,134,"(14682, 23117, 31800)",-,prelim grouping,,2,type 2
1102412245,FSR*,148,"(21485, 18938, 24094)",-,prelim grouping,review,2,type 2
1288650927,FSR*,49,"(26342, 17277, 23042)",L,prelim grouping,yes,3,type 3
1072059176,(LEF)_R,408,"(12868, 10054, 21170)",R,prelim grouping,,3,type 3
1381730321,,1,"(28011, 19404, 24682)",L,prelim grouping,yes,4,type 4
1630332999,,1,"(29196, 19886, 23769)",-,prelim grouping,,4,type 4
1504850262,,2,"(27690, 19178, 24992)",-,prelim grouping,,4,type 4
1722483751,(aVT2)_R,3,"(30770, 20230, 24144)",-,prelim grouping,yes,4,type 4
1412761053,,3,"(17754, 20992, 23642)",-,prelim grouping,,4,type 4
1691885573,,10,"(21019, 20211, 24438)",-,prelim grouping,,4,type 4
5813068048,(aVT2)_R,11,"(16368, 21473, 23497)",-,prelim grouping,,4,type 4
1722177539,(aVT2)_R,11,"(24427, 19333, 25120)",-,prelim grouping,,4,type 4
1443450601,(aVT2)_R,14,"(19389, 20604, 23824)",-,prelim grouping,,4,type 4
1073428001,Upstream>pMN1,52,"(20273, 17909, 23238)",-,prelim grouping,,4,type 4
1594562431,FSR*,132,"(30035, 17200, 23010)",L,prelim grouping,yes,4,type 4
1507139129,(aVLPT2)_R,1,"(9353, 20660, 25736)",R,prelim grouping,yes,5,type 5
5813065458,,1,"(13126, 23659, 26636)",R,prelim grouping,review,5,type 5
1602704738,(aVLPT2)_R,2,"(13409, 22543, 27480)",R,prelim grouping,yes,5,type 5
1631019730,(aVLPT2)_R,2,"(12623, 32905, 25370)",R,prelim grouping,yes,5,type 5
