Body Id,Type,Instance,GF1 Synapse Count,Classification,Status
5901224333,no labeled type,no instance,4.0,Misc - Anterior,Traced
5901219755,no labeled type,no instance,45.0,24,Traced
5901215446,LC4,LC4,41.0,LC4,Traced
5901214470,LPLC2,LPLC2_R,19.0,LPLC2,Traced
5813130229,PS005_f,PS005_f_R,5.0,13,Traced
5813107136,JO-A/B/C,JO-A/B/C,3.0,JO,Traced
5813083315,no labeled type,no instance,6.0,52,Traced
5813093048,no labeled type,no instance,8.0,Anterior type 2,Traced
5813090649,AVLP094,AVLP094_R,55.0,9,Traced
5813075607,LC4,LC4,47.0,LC4,Traced
5813077633,AVLP479,AVLP479_R,1.0,new type 23,Traced
5813070019,AMMC-A1,AMMC-A1_R,4.0,GCI,Traced
5813068559,AVLP396,AVLP396_R,79.0,78,Traced
5813068925,PVLP062,PVLP062_R,98.0,71,Traced
5813069377,LC4,LC4,28.0,LC4,Traced
5813069594,AVLP547,AVLP547_R,3.0,69,Traced
5813067020,no labeled type,no instance,11.0,Anterior type 3,Traced
5813068406,JO-A/B/C,JO-A/B/C,44.0,JO,Traced
5813068801,PLP015,PLP015_R,1.0,new type 18,Traced
5813069068,SAD021_a,SAD021_a_R,32.0,24,Traced
5813069288,no labeled type,Axon(GC),30.0,GCI,Traced
5813066705,JO-A/B/C,JO-A/B/C,16.0,JO,Traced
5813069053,LC4,LC4,32.0,LC4,Traced
5813069246,no labeled type,no instance,24.0,30,Traced
5813063231,SAD024,SAD024_R,19.0,Anterior type 3,Traced
5813068048,CL121,CL121_R,9.0,4,Traced
5813065458,PVLP035,PVLP035_R,1.0,5,Traced
5813061197,LC4,LC4,25.0,LC4,Traced
5813063093,CL286,CL286_R,3.0,81,Traced
5813058342,PS002,PS002_R,12.0,50,Traced
5813060067,no labeled type,no instance,1.0,115,Traced
5813056435,no labeled type,no instance,1.0,116,Traced
5813057178,PVLP136,PVLP136_R,2.0,119,Traced
5813055439,SAD021_a,SAD021_a_R,32.0,24,Traced
5813055129,LC4,LC4,36.0,LC4,Traced
5813054384,PPM1203,PPM1203_R,2.0,new type 17,Traced
5813055019,AVLP203,AVLP203_R,5.0,58,Traced
5813054376,AVLP259,AVLP259_R,1.0,19,Traced
5813054317,AVLP107,AVLP107_R,1.0,88,Traced
5813054797,WED109,WED109_R,1.0,64,Traced
5813055222,AVLP093,AVLP093_R,33.0,9,Traced
5813050499,AVLP082,AVLP082_R,10.0,new type 11,Traced
5813053860,PVLP151,PVLP151(SCB004)_L,84.0,19,Traced
5813053923,LAL047,LAL047_R,6.0,new type 22,Traced
5813050827,LPLC2,LPLC2_R,25.0,LPLC2,Traced
5813050787,no labeled type,Axon(GC),50.0,GCI,Traced
5813046478,LPLC2,LPLC2_R,5.0,LPLC2,Traced
5813040309,PLP018,PLP018_R,18.0,22,Traced
5813040280,SAD021_c,SAD021_c_R,31.0,33,Traced
5813038825,LPLC2,LPLC2,2.0,LPLC2,Traced
5813038822,LPLC2,LPLC2,16.0,LPLC2,Traced
5813038821,LPLC2,LPLC2_R,21.0,LPLC2,Traced
5813040677,no labeled type,no instance,47.0,JO,Traced
5813038769,LPLC2,LPLC2_R,30.0,LPLC2,Traced
5813039507,JO-A/B/C,JO-A/B/C,17.0,JO,Traced
5813039148,PVLP011,PVLP011_R,2.0,125,Traced
5813034341,JO-A/B/C,JO-A/B/C,48.0,JO,Traced
5813039136,LPLC2,LPLC2,7.0,LPLC2,Traced
5813034870,no labeled type,no instance,3.0,Anterior type 1,Traced
5813034868,JO-A/B/C,JO-A/B/C,16.0,JO,Traced
5813034701,no labeled type,no instance,1.0,Misc - Anterior,Traced
5813031663,WED117,WED117_R,3.0,46,Traced
5813034151,LPLC2,LPLC2_R,15.0,LPLC2,Traced
5813027282,no labeled type,no instance,1.0,Anterior type 3,Traced
5813027278,AVLP429,AVLP429_R,4.0,79,Traced
5813026023,JO-A/B/C,JO-A/B/C,1.0,JO,Traced
5813034529,SAD020,SAD020_R,43.0,31,Traced
5813025549,SAD031,SAD031_R,7.0,39,Traced
5813027235,LAL053,LAL053_R,1.0,22,Traced
5813023621,no labeled type,no instance,34.0,Anterior type 3,Traced
5813027081,no labeled type,no instance,9.0,Anterior type 3,Traced
5813024035,SAD013,SAD013_R,74.0,21,Traced
5813027050,SAD014,SAD014_R,59.0,57,Traced
5813024910,SAD022,SAD022_R,18.0,24,Traced
5813023617,PVLP021,PVLP021_R,31.0,57,Traced
5813023106,SAD083,SAD083_R,6.0,46,Traced
5813023101,JO-A/B/C,JO-A/B/C,13.0,JO,Traced
5813024031,no labeled type,no instance,110.0,Anterior type 3,Traced
5813024015,DNp02,DNp02_R,1.0,DNp02,Traced
5813022591,PS002,PS002_R,8.0,50,Traced
5813023322,DNp06,DNp06_R,9.0,DNp06,Traced
5813022764,AVLP037,AVLP037_R,4.0,1,Traced
5813021583,AVLP210,AVLP210_R,7.0,59,Traced
5813021922,no labeled type,SCL-AVLP_R_001,1.0,73,Traced
5813021574,CL247,CL247_R,23.0,110,Traced
5813018687,no labeled type,no instance,34.0,Anterior type 3,Traced
5813018686,no labeled type,no instance,14.0,Anterior type 3,Traced
5813018683,JO-A/B/C,JO-A/B/C,6.0,JO,Traced
5813021112,PVLP119,PVLP119_R,184.0,111,Traced
5813018508,WED117,WED117_R,11.0,46,Traced
5813017691,no labeled type,no instance,10.0,29,Traced
5813019191,SAD026,SAD026_R,13.0,33,Traced
5813013830,no labeled type,no instance,1.0,26,Traced
5813010391,CL166,CL166_R,3.0,20,Traced
5813007438,JO-A/B/C,JO-A/B/C,8.0,JO,Traced
5813006933,JO-A/B/C,JO-A/B/C,43.0,JO,Traced
5813006921,JO-A/B/C,JO-A/B/C,8.0,JO,Traced
5813006614,JO-A/B/C,JO-A/B/C,43.0,JO,Traced
5813006594,JO-A/B/C,JO-A/B/C,7.0,JO,Traced
5813000577,LC4,LC4,33.0,LC4,Traced
5813008197,JO-A/B/C,JO-A/B/C,9.0,JO,Traced
5813006315,JO-A/B/C,JO-A/B/C,51.0,JO,Traced
5813006296,JO-A/B/C,JO-A/B/C,3.0,JO,Traced
5813006291,JO-A/B/C,JO-A/B/C,24.0,JO,Traced
5812999264,LPLC2,LPLC2_R,18.0,LPLC2,Traced
5812995833,no labeled type,no instance,17.0,58,Traced
5812998937,JO-A/B/C,JO-A/B/C,17.0,JO,Traced
5812998136,LC4,LC4,25.0,LC4,Traced
5812998086,JO-A/B/C,JO-A/B/C,4.0,JO,Traced
5812998080,no labeled type,no instance,2.0,JO,Traced
5812998825,LPLC2,LPLC2,6.0,LPLC2,Traced
5812996383,LPLC2,LPLC2,14.0,LPLC2,Traced
5812992250,no labeled type,no instance,5.0,Anterior type 1,Traced
5812995124,AVLP517,AVLP517_R,1.0,64,Traced
5812993692,LC4,LC4,38.0,LC4,Traced
5812991413,no labeled type,no instance,1.0,new type 21,Traced
5812992723,no labeled type,no instance,7.0,Anterior type 3,Traced
5812992706,PVLP123,PVLP123_R,64.0,10,Traced
5812990975,WED055_a,WED055_a_R,2.0,24,Traced
5812987894,LPLC2,LPLC2_R,29.0,LPLC2,Traced
5812990292,PVLP031,PVLP031_R,1.0,58,Traced
5812988820,no labeled type,(PLBDL9)_R,1.0,11,Traced
5812983519,AVLP040,AVLP040_R,6.0,1,Traced
5812987602,PVLP142,PVLP142_R,11.0,6,Traced
5812980291,CL262,CL262_R,110.0,18,Traced
2535465130,JO-A/B/C,JO-A/B/C,11.0,JO,Traced
2534087947,JO-A/B/C,JO-A/B/C,20.0,JO,Traced
2533746821,JO-A/B/C,JO-A/B/C,3.0,JO,Traced
2532727986,JO-A/B/C,JO-A/B/C,8.0,JO,Traced
2532046045,JO-A/B/C,JO-A/B/C,3.0,JO,Traced
2532041662,JO-A/B/C,JO-A/B/C,13.0,JO,Traced
2501693123,JO-A/B/C,JO-A/B/C,18.0,JO,Traced
2477500932,no labeled type,no instance,1.0,JO,Traced
2472376250,JO-A/B/C,JO-A/B/C,14.0,JO,Traced
2472354934,JO-A/B/C,JO-A/B/C,2.0,JO,Traced
2472026764,JO-A/B/C,JO-A/B/C,15.0,JO,Traced
2471712152,no labeled type,no instance,75.0,Misc - Anterior,Traced
2508194988,JO-A/B/C,JO-A/B/C,4.0,JO,Traced
2471676938,JO-A/B/C,JO-A/B/C,24.0,JO,Traced
2470999476,JO-A/B/C,JO-A/B/C,11.0,JO,Traced
2470317344,JO-A/B/C,JO-A/B/C,25.0,JO,Traced
2443392355,JO-A/B/C,JO-A/B/C,13.0,JO,Traced
2439964429,JO-A/B/C,JO-A/B/C,22.0,JO,Traced
2439964310,JO-A/B/C,JO-A/B/C,61.0,JO,Traced
2411653352,JO-A/B/C,JO-A/B/C,1.0,JO,Traced
2411321234,JO-A/B/C,JO-A/B/C,2.0,JO,Traced
2410988863,JO-A/B/C,JO-A/B/C,40.0,JO,Traced
2410967137,JO-A/B/C,JO-A/B/C,3.0,JO,Traced
2406533539,no labeled type,no instance,3.0,Anterior type 3,Traced
2410302463,JO-A/B/C,JO-A/B/C,8.0,JO,Traced
2409965772,JO-A/B/C,JO-A/B/C,5.0,JO,Traced
2406162924,no labeled type,no instance,2.0,24,Traced
2409616020,JO-A/B/C,JO-A/B/C,13.0,JO,Traced
2409611656,JO-A/B/C,JO-A/B/C,51.0,JO,Traced
2409283844,no labeled type,no instance,5.0,Anterior type 3,Traced
2409275147,JO-A/B/C,JO-A/B/C,5.0,JO,Traced
2378594464,JO-A/B/C,JO-A/B/C,8.0,JO,Traced
2378257493,JO-A/B/C,JO-A/B/C,5.0,JO,Traced
2378248516,JO-A/B/C,JO-A/B/C,19.0,JO,Traced
2378240017,JO-A/B/C,JO-A/B/C,14.0,JO,Traced
2377903039,JO-A/B/C,JO-A/B/C,7.0,JO,Traced
2385436621,JO-A/B/C,JO-A/B/C,20.0,JO,Traced
2375213707,no labeled type,no instance,2.0,100,Traced
2384068203,JO-A/B/C,JO-A/B/C,12.0,JO,Traced
2377566785,JO-A/B/C,JO-A/B/C,7.0,JO,Traced
2377221619,JO-A/B/C,JO-A/B/C,8.0,JO,Traced
2377221246,JO-A/B/C,JO-A/B/C,9.0,JO,Traced
2383014739,JO-A/B/C,JO-A/B/C,9.0,JO,Traced
2382332652,JO-A/B/C,JO-A/B/C,5.0,JO,Traced
2349242954,JO-A/B/C,JO-A/B/C,4.0,JO,Traced
2379595914,JO-A/B/C,JO-A/B/C,91.0,JO,Traced
2349242595,JO-A/B/C,JO-A/B/C,52.0,JO,Traced
2376526540,JO-A/B/C,JO-A/B/C,17.0,JO,Traced
2348927693,JO-A/B/C,JO-A/B/C,12.0,JO,Traced
2348910257,no labeled type,no instance,2.0,Anterior type 3,Traced
2379271978,JO-A/B/C,JO-A/B/C,30.0,JO,Traced
2376194110,no labeled type,no instance,2.0,Anterior type 3,Traced
2378935423,JO-A/B/C,JO-A/B/C,23.0,JO,Traced
2378935153,JO-A/B/C,JO-A/B/C,9.0,JO,Traced
2378930791,JO-A/B/C,JO-A/B/C,26.0,JO,Traced
2347895657,no labeled type,no instance,11.0,Anterior type 3,Traced
2347870352,no labeled type,no instance,1.0,Anterior type 3,Traced
2347209856,JO-A/B/C,JO-A/B/C,14.0,JO,Traced
2315483773,JO-A/B/C,JO-A/B/C,14.0,JO,Traced
2346518646,no labeled type,no instance,1.0,Anterior type 3,Traced
2346510018,SAD029,SAD029_R,2.0,24,Traced
2350615474,no labeled type,no instance,61.0,Anterior type 3,Traced
2346182454,no labeled type,no instance,7.0,Anterior type 3,Traced
2317875523,JO-A/B/C,JO-A/B/C,25.0,JO,Traced
2317871147,JO-A/B/C,JO-A/B/C,17.0,JO,Traced
2317867089,JO-A/B/C,JO-A/B/C,2.0,JO,Traced
2312061045,no labeled type,no instance,3.0,Anterior type 3,Traced
2317197779,JO-A/B/C,JO-A/B/C,2.0,JO,Traced
2285118496,no labeled type,no instance,1.0,Anterior type 3,Traced
2316843746,JO-A/B/C,JO-A/B/C,2.0,JO,Traced
2284777374,no labeled type,no instance,24.0,Anterior type 3,Traced
2316502686,no labeled type,no instance,88.0,Anterior type 3,Traced
2279334086,no labeled type,no instance,1.0,Anterior type 3,Traced
2283779961,no labeled type,no instance,5.0,Anterior type 2,Traced
2283771964,no labeled type,no instance,1.0,Anterior type 2,Traced
2283421947,no labeled type,no instance,1.0,Anterior type 3,Traced
2287181377,no labeled type,no instance,2.0,Anterior type 1,Traced
2283085439,no labeled type,no instance,15.0,Anterior type 3,Traced
2286836128,JO-A/B/C,JO-A/B/C,4.0,JO,Traced
2285813669,JO-A/B/C,JO-A/B/C,4.0,JO,Traced
2253750781,no labeled type,no instance,71.0,41,Traced
2221053439,SAD065,SAD065_R,1.0,30,Traced
2221010328,JO-A/B/C,JO-A/B/C,34.0,JO,Traced
2221006570,no labeled type,no instance,2.0,Anterior type 3,Traced
2220669844,no labeled type,no instance,2.0,24,Traced
2222414812,no labeled type,no instance,111.0,Anterior type 3,Traced
2222370777,no labeled type,no instance,53.0,31,Traced
2222029255,no labeled type,no instance,2.0,Anterior type 3,Traced
2215161310,LC4,LC4,19.0,LC4,Traced
2158979725,SAD059,SAD059_R,19.0,30,Traced
2188590741,WED055_a,WED055_a_R,1.0,33,Traced
2161647993,no labeled type,no instance,4.0,Anterior type 1,Traced
2157206476,SAD022,SAD022_R,15.0,Anterior type 3,Traced
2155833665,SAD026,SAD026_R,1.0,33,Traced
2158246363,SAD021_b,SAD021_b_R,6.0,24,Traced
2156873528,SAD027,SAD027_R,4.0,33,Traced
2126296267,SAD073,SAD073_R,103.0,2,Traced
2121711447,LC4,LC4,29.0,LC4,Traced
2127219419,no labeled type,no instance,101.0,Anterior type 3,Traced
2128566765,SAD038,SAD038_R,1.0,new type 20,Traced
2099889350,AVLP263,AVLP263_R,10.0,14,Traced
2126857473,SAD026,SAD026_R,16.0,33,Traced
2097194758,no labeled type,no instance,2.0,Anterior type 3,Traced
2099569065,no labeled type,no instance,23.0,Anterior type 3,Traced
2095498288,SAD023,SAD023_R,27.0,24,Traced
2095481215,SAD026,SAD026_R,5.0,33,Traced
2096846027,SAD021_a,SAD021_a_R,21.0,24,Traced
2096525840,no labeled type,no instance,14.0,Anterior type 2,Traced
2096500397,SAD021_c,SAD021_c_R,19.0,24,Traced
2067852579,SAD027,SAD027_R,8.0,24,Traced
2067153349,SAD031,SAD031_R,3.0,39,Traced
2065192873,SAD055,SAD055_R,87.0,30,Traced
2065158506,SAD024,SAD024_R,1.0,24,Traced
2066509864,SAD050,SAD050_R,2.0,8,Traced
2065158112,no labeled type,no instance,29.0,Anterior type 1,Traced
2065132470,no labeled type,no instance,26.0,Anterior type 1,Traced
2065814899,SAD032,SAD032_R,4.0,39,Traced
2059978318,LPLC2,LPLC2_R,5.0,LPLC2,Traced
2036510940,WED029,WED029_R,7.0,93,Traced
2036131300,WED117,WED117_R,1.0,64,Traced
2034123290,no labeled type,no instance,51.0,Anterior type 1,Traced
